police_district_number,year_month,total_calls,no_report_count,no_report_rate,mismatch_count,mismatch_rate,downgrade_count,downgrade_rate,total_citations,total_bias,citations_per_100_calls,bias_per_100_calls
3,2019-12-01T00:00:00Z,3456,2829,81.85763888888889,167,26.6347687400319,51,8.133971291866029,NA,NA,NA,NA
3,2020-01-01T00:00:00Z,3529,2856,80.92944176820629,205,30.460624071322435,61,9.063893016344725,NA,1,NA,0.028336639274582034
3,2020-02-01T00:00:00Z,3169,2623,82.77059009151152,184,33.6996336996337,54,9.89010989010989,NA,1,NA,0.03155569580309246
3,2020-03-01T00:00:00Z,3125,2547,81.504,152,26.297577854671278,31,5.3633217993079585,NA,NA,NA,NA
3,2020-04-01T00:00:00Z,2698,2177,80.68939955522609,121,23.224568138195778,35,6.71785028790787,NA,NA,NA,NA
3,2020-05-01T00:00:00Z,2996,2393,79.87316421895862,170,28.192371475953564,53,8.7893864013267,NA,NA,NA,NA
3,2020-06-01T00:00:00Z,2994,2425,80.99532398129593,146,25.65905096660808,45,7.9086115992970125,NA,1,NA,0.033400133600534405
3,2020-07-01T00:00:00Z,3213,2568,79.92530345471522,196,30.387596899224807,42,6.511627906976744,NA,1,NA,0.031123560535325244
3,2020-08-01T00:00:00Z,3089,2491,80.64098413726126,174,29.09698996655518,58,9.698996655518394,NA,2,NA,0.06474587245063128
3,2020-09-01T00:00:00Z,2934,2320,79.07293796864349,180,29.31596091205212,49,7.980456026058631,NA,1,NA,0.03408316291751875
3,2020-10-01T00:00:00Z,3052,2422,79.35779816513761,179,28.41269841269841,62,9.841269841269842,NA,2,NA,0.0655307994757536
3,2020-11-01T00:00:00Z,3065,2436,79.47797716150082,160,25.43720190779014,48,7.631160572337042,NA,1,NA,0.03262642740619902
3,2020-12-01T00:00:00Z,2972,2364,79.54239569313593,144,23.684210526315788,45,7.401315789473683,NA,NA,NA,NA
3,2021-01-01T00:00:00Z,2885,2278,78.96013864818025,182,29.983525535420096,56,9.225700164744646,NA,1,NA,0.03466204506065858
3,2021-02-01T00:00:00Z,2431,1950,80.21390374331551,136,28.274428274428274,42,8.731808731808732,NA,NA,NA,NA
3,2021-03-01T00:00:00Z,3018,2342,77.60106030483765,189,27.958579881656803,53,7.840236686390532,NA,4,NA,0.13253810470510272
3,2021-04-01T00:00:00Z,2926,2323,79.39166097060834,184,30.514096185737976,55,9.12106135986733,NA,3,NA,0.10252904989747096
3,2021-05-01T00:00:00Z,3042,2432,79.9474030243261,186,30.491803278688522,54,8.852459016393443,NA,NA,NA,NA
3,2021-06-01T00:00:00Z,3243,2582,79.61763798951587,188,28.44175491679274,46,6.959152798789712,NA,4,NA,0.12334258402713535
3,2021-07-01T00:00:00Z,3342,2703,80.87971274685816,170,26.604068857589986,44,6.885758998435055,NA,4,NA,0.11968880909634949
3,2021-08-01T00:00:00Z,3210,2605,81.15264797507788,180,29.75206611570248,37,6.115702479338843,NA,3,NA,0.09345794392523366
3,2021-09-01T00:00:00Z,3333,2692,80.76807680768077,195,30.42121684867395,48,7.48829953198128,NA,NA,NA,NA
3,2021-10-01T00:00:00Z,3504,2790,79.62328767123287,196,27.450980392156865,57,7.9831932773109235,NA,NA,NA,NA
3,2021-11-01T00:00:00Z,3129,2440,77.9801853627357,193,28.011611030478957,56,8.127721335268506,NA,3,NA,0.09587727708533077
3,2021-12-01T00:00:00Z,3102,2466,79.49709864603481,200,31.446540880503143,52,8.176100628930817,NA,3,NA,0.09671179883945842
3,2022-01-01T00:00:00Z,2893,2339,80.85032837884549,158,28.51985559566787,42,7.581227436823104,NA,2,NA,0.06913238852402351
3,2022-02-01T00:00:00Z,2886,2260,78.3090783090783,182,29.073482428115017,48,7.667731629392971,11,1,0.38115038115038113,0.03465003465003465
3,2022-03-01T00:00:00Z,3070,2403,78.273615635179155,191,28.635682158920538,49,7.34632683658171,11,4,0.3583061889250814,0.13029315960912052
3,2022-04-01T00:00:00Z,3088,2488,80.56994818652849,179,29.833333333333336,61,10.166666666666666,3,3,0.09715025906735751,0.09715025906735751
3,2022-05-01T00:00:00Z,3319,2654,79.96384453148538,184,27.669172932330827,62,9.323308270676693,21,2,0.6327206990057246,0.06025911419102139
3,2022-06-01T00:00:00Z,3382,2736,80.89887640449437,194,30.030959752321984,46,7.120743034055728,10,2,0.29568302779420463,0.05913660555884093
3,2022-07-01T00:00:00Z,3371,2699,80.06526253337289,192,28.57142857142857,49,7.291666666666667,9,1,0.26698309107089885,0.02966478789676654
3,2022-08-01T00:00:00Z,3060,2394,78.23529411764706,167,25.075075075075077,50,7.5075075075075075,6,1,0.19607843137254902,0.0326797385620915
3,2022-09-01T00:00:00Z,3340,2582,77.30538922155688,210,27.70448548812665,50,6.596306068601583,9,2,0.2694610778443114,0.059880239520958084
3,2022-10-01T00:00:00Z,3246,2547,78.46580406654344,196,28.040057224606578,61,8.726752503576538,4,1,0.12322858903265559,0.030807147258163897
3,2022-11-01T00:00:00Z,3286,2579,78.48447961046865,206,29.13719943422914,55,7.779349363507778,13,NA,0.39561777236762025,NA
3,2022-12-01T00:00:00Z,3281,2544,77.5373361779945,216,29.30800542740841,45,6.1058344640434195,9,1,0.27430661383724475,0.030478512648582746
3,2023-01-01T00:00:00Z,3154,2390,75.77679137603045,210,27.486910994764397,62,8.115183246073299,19,1,0.6024096385542169,0.03170577045022194
3,2023-02-01T00:00:00Z,3083,2420,78.49497242945183,195,29.411764705882355,63,9.502262443438914,2,3,0.06487187804086927,0.09730781706130393
3,2023-03-01T00:00:00Z,3529,2782,78.83253046188722,210,28.11244979919679,57,7.630522088353414,27,2,0.76508926041371494,0.05667327854916407
3,2023-04-01T00:00:00Z,3432,2681,78.11771561771562,189,25.166444740346204,46,6.125166444740346,24,1,0.6993006993006993,0.029137529137529136
3,2023-05-01T00:00:00Z,3643,2854,78.34202580290969,245,31.05196451204056,69,8.745247148288973,6,3,0.16469942355201758,0.08234971177600879
3,2023-06-01T00:00:00Z,3428,2721,79.3757292882147,177,25.035360678925034,59,8.345120226308344,1,4,0.029171528588098013,0.11668611435239205
3,2023-07-01T00:00:00Z,3688,2899,78.6062906724512,157,19.898605830164765,44,5.576679340937896,7,2,0.1898047722342733,0.05422993492407809
3,2023-08-01T00:00:00Z,3671,3078,83.84636338872242,93,15.682967959527824,24,4.0472175379426645,6,2,0.16344320348678834,0.05448106782892945
3,2023-09-01T00:00:00Z,3590,2980,83.008356545961007,94,15.40983606557377,33,5.409836065573771,7,6,0.19498607242339833,0.1671309192200557
3,2023-10-01T00:00:00Z,3964,3238,81.68516649848637,149,20.52341597796143,42,5.785123966942149,7,6,0.17658930373360243,0.15136226034308778
3,2023-11-01T00:00:00Z,3624,3025,83.47130242825607,94,15.692821368948248,16,2.671118530884808,4,4,0.11037527593818984,0.11037527593818984
3,2023-12-01T00:00:00Z,3687,3058,82.94005966910768,101,16.05723370429253,20,3.1796502384737675,4,4,0.10848928668294007,0.10848928668294007
3,2024-01-01T00:00:00Z,3456,2870,83.04398148148148,108,18.43003412969283,30,5.1194539249146755,10,3,0.28935185185185186,0.08680555555555555
3,2024-02-01T00:00:00Z,3256,2676,82.18673218673219,145,25,40,6.896551724137931,4,5,0.12285012285012285,0.15356265356265356
3,2024-03-01T00:00:00Z,3397,2730,80.36502796585222,195,29.235382308845576,47,7.04647676161919,11,1,0.32381513099793935,0.029437739181630854
3,2024-04-01T00:00:00Z,3472,2799,80.6163594470046,206,30.60921248142645,48,7.13224368499257,7,11,0.20161290322580644,0.31682027649769584
3,2024-05-01T00:00:00Z,4012,3230,80.50847457627118,223,28.516624040920718,47,6.010230179028133,9,7,0.2243270189431705,0.1744765702891326
3,2024-06-01T00:00:00Z,3682,2936,79.7392721347094,199,26.675603217158177,51,6.8364611260053625,6,5,0.16295491580662683,0.13579576317218903
3,2024-07-01T00:00:00Z,3769,3017,80.04775802600159,194,25.79787234042553,44,5.851063829787234,6,1,0.15919342000530645,0.02653223666755107
3,2024-08-01T00:00:00Z,3702,2985,80.6320907617504,214,29.846582984658298,49,6.834030683403068,15,4,0.4051863857374392,0.10804970286331712
3,2024-09-01T00:00:00Z,3702,2982,80.55105348460292,200,27.77777777777778,51,7.083333333333333,12,4,0.3241491085899514,0.10804970286331712
3,2024-10-01T00:00:00Z,4143,3274,79.02486121168235,250,28.768699654775602,61,7.019562715765247,10,6,0.24137098720733766,0.1448225923244026
3,2024-11-01T00:00:00Z,3582,2804,78.28029034059185,190,24.42159383033419,51,6.555269922879177,17,7,0.4745951982132886,0.1954215522054718
3,2024-12-01T00:00:00Z,3492,2858,81.84421534936999,170,26.813880126182966,39,6.151419558359621,24,8,0.6872852233676976,0.22909507445589922
3,2025-01-01T00:00:00Z,3232,2575,79.67202970297029,202,30.74581430745814,53,8.06697108066971,17,3,0.525990099009901,0.09282178217821782
3,2025-02-01T00:00:00Z,3079,2434,79.05164014290355,158,24.496124031007753,45,6.976744186046512,4,3,0.12991230919129587,0.0974342318934719
3,2025-03-01T00:00:00Z,3466,2726,78.64974033467973,221,29.864864864864867,41,5.540540540540541,12,2,0.3462204270051933,0.05770340450086555
3,2025-04-01T00:00:00Z,3431,2718,79.2188866219761,203,28.471248246844322,44,6.171107994389901,17,3,0.4954823666569514,0.08743806470416789
3,2025-05-01T00:00:00Z,3465,2738,79.01875901875903,222,30.536451169188446,53,7.290233837689134,9,8,0.2597402597402597,0.23088023088023088
3,2025-06-01T00:00:00Z,3303,2633,79.7154102331214,180,26.865671641791046,33,4.925373134328359,10,2,0.3027550711474417,0.060551014229488345
3,2025-07-01T00:00:00Z,3445,2750,79.82583454281567,217,31.22302158273381,47,6.762589928057554,32,4,0.9288824383164005,0.11611030478955006
3,2025-08-01T00:00:00Z,3464,2791,80.5715935334873,184,27.340267459138186,36,5.349182763744428,32,1,0.9237875288683602,0.028868360277136258
3,2025-09-01T00:00:00Z,3285,2608,79.39117199391173,191,28.21270310192024,48,7.0901033973412115,17,4,0.517503805175038,0.12176560121765602
3,2025-10-01T00:00:00Z,3315,2612,78.79336349924586,232,33.001422475106686,47,6.685633001422476,18,3,0.5429864253393665,0.09049773755656108
3,2025-11-01T00:00:00Z,3128,2572,82.22506393861893,188,33.81294964028777,48,8.633093525179856,13,6,0.41560102301790286,0.1918158567774936
3,2025-12-01T00:00:00Z,2975,2375,79.83193277310924,183,30.5,58,9.666666666666666,37,4,1.2436974789915967,0.13445378151260504
3,2026-01-01T00:00:00Z,3086,2480,80.36292935839275,188,31.02310231023102,41,6.765676567656766,25,1,0.8101101749837978,0.03240440699935191
3,2026-02-01T00:00:00Z,1623,1459,89.89525569932223,60,36.58536585365854,14,8.536585365853659,13,NA,0.8009858287122612,NA
4,2017-04-01T00:00:00Z,3081,2664,86.46543330087634,131,31.414868105515588,43,10.311750599520384,NA,1,NA,0.03245699448231094
4,2017-05-01T00:00:00Z,4035,3497,86.66666666666667,168,31.226765799256505,64,11.895910780669144,NA,NA,NA,NA
4,2017-06-01T00:00:00Z,4212,3601,85.49382716049382,216,35.3518821603928,57,9.328968903436989,NA,3,NA,0.07122507122507123
4,2017-07-01T00:00:00Z,3998,3453,86.36818409204602,160,29.357798165137616,41,7.522935779816514,NA,2,NA,0.05002501250625312
4,2017-08-01T00:00:00Z,4042,3421,84.63631865413161,182,29.307568438003223,54,8.695652173913043,NA,3,NA,0.07422068283028203
4,2017-09-01T00:00:00Z,3851,3302,85.74396260711504,156,28.415300546448087,40,7.285974499089254,NA,NA,NA,NA
4,2017-10-01T00:00:00Z,3951,3356,84.94052138699062,172,28.907563025210088,47,7.899159663865546,NA,1,NA,0.02531004808909137
4,2017-11-01T00:00:00Z,3649,3115,85.36585365853658,166,31.086142322097377,42,7.865168539325842,NA,3,NA,0.0822143052891203
4,2017-12-01T00:00:00Z,3576,3023,84.53579418344519,160,28.933092224231466,44,7.956600361663653,NA,1,NA,0.02796420581655481
4,2018-01-01T00:00:00Z,3370,2847,84.48071216617211,157,30.019120458891013,33,6.309751434034416,NA,2,NA,0.05934718100890207
4,2018-02-01T00:00:00Z,2978,2516,84.48623237071861,143,30.952380952380953,42,9.090909090909092,NA,1,NA,0.0335795836131632
4,2018-03-01T00:00:00Z,3469,2956,85.21187662150476,165,32.16374269005848,42,8.187134502923977,NA,2,NA,0.057653502450273855
4,2018-04-01T00:00:00Z,3536,3029,85.66176470588235,161,31.755424063116372,46,9.072978303747535,NA,2,NA,0.056561085972850686
4,2018-05-01T00:00:00Z,3968,3385,85.30745967741935,184,31.56089193825043,39,6.689536878216123,NA,3,NA,0.07560483870967742
4,2018-06-01T00:00:00Z,3803,3217,84.59111227977913,173,29.522184300341298,50,8.532423208191126,NA,NA,NA,NA
4,2018-07-01T00:00:00Z,3816,3266,85.58700209643607,180,32.72727272727273,44,8,NA,NA,NA,NA
4,2018-08-01T00:00:00Z,3734,3137,84.01178361006963,205,34.33835845896148,57,9.547738693467336,NA,2,NA,0.05356186395286556
4,2018-09-01T00:00:00Z,3618,3075,84.99170812603649,179,32.96500920810313,57,10.497237569060774,NA,2,NA,0.055279159756771695
4,2018-10-01T00:00:00Z,3704,3158,85.25917926565874,181,33.150183150183146,47,8.608058608058608,NA,3,NA,0.08099352051835854
4,2018-11-01T00:00:00Z,3222,2663,82.65052762259467,195,34.883720930232556,60,10.73345259391771,NA,4,NA,0.12414649286157665
4,2018-12-01T00:00:00Z,3435,2893,84.2212518195051,179,33.025830258302584,50,9.22509225092251,NA,3,NA,0.08733624454148471
4,2019-01-01T00:00:00Z,3288,2767,84.15450121654501,146,28.023032629558543,35,6.71785028790787,NA,2,NA,0.06082725060827251
4,2019-02-01T00:00:00Z,2923,2440,83.47588094423537,169,34.989648033126294,32,6.625258799171843,NA,NA,NA,NA
4,2019-03-01T00:00:00Z,3306,2763,83.57531760435572,183,33.70165745856354,48,8.83977900552486,NA,4,NA,0.12099213551119178
4,2019-04-01T00:00:00Z,3399,2848,83.78934980876728,199,36.116152450090745,54,9.800362976406534,NA,1,NA,0.02942041776993233
4,2019-05-01T00:00:00Z,3608,3023,83.7860310421286,174,29.743589743589745,41,7.0085470085470085,NA,4,NA,0.11086474501108648
4,2019-06-01T00:00:00Z,3536,2923,82.66402714932126,205,33.442088091353995,60,9.787928221859707,NA,1,NA,0.028280542986425343
4,2019-07-01T00:00:00Z,3587,2986,83.24505157513242,194,32.27953410981697,44,7.321131447587355,NA,3,NA,0.08363534987454697
4,2019-08-01T00:00:00Z,3486,2874,82.44406196213426,198,32.35294117647059,54,8.823529411764707,NA,2,NA,0.05737234652897303
4,2019-09-01T00:00:00Z,3520,2926,83.125,201,33.83838383838384,63,10.606060606060606,NA,2,NA,0.056818181818181816
4,2019-10-01T00:00:00Z,3650,3004,82.30136986301369,204,31.57894736842105,57,8.823529411764707,NA,2,NA,0.0547945205479452
4,2019-11-01T00:00:00Z,3372,2734,81.07947805456702,222,34.79623824451411,61,9.561128526645767,NA,NA,NA,NA
4,2019-12-01T00:00:00Z,3359,2750,81.86960404882406,189,31.03448275862069,52,8.538587848932677,NA,3,NA,0.08931229532598987
4,2020-01-01T00:00:00Z,3183,2555,80.27018535972353,184,29.29936305732484,50,7.961783439490445,NA,2,NA,0.06283380458686773
4,2020-02-01T00:00:00Z,3000,2450,81.66666666666667,186,33.81818181818182,46,8.363636363636363,NA,4,NA,0.13333333333333333
4,2020-03-01T00:00:00Z,3216,2649,82.36940298507463,152,26.807760141093475,41,7.231040564373897,NA,4,NA,0.12437810945273632
4,2020-04-01T00:00:00Z,2693,2251,83.58707760861492,142,32.126696832579185,32,7.239819004524888,NA,2,NA,0.07426661715558856
4,2020-05-01T00:00:00Z,3175,2608,82.14173228346456,164,28.92416225749559,35,6.172839506172839,NA,2,NA,0.06299212598425197
4,2020-06-01T00:00:00Z,2955,2485,84.0947546531303,160,34.04255319148936,34,7.234042553191489,NA,4,NA,0.1353637901861252
4,2020-07-01T00:00:00Z,3263,2696,82.62335274287466,155,27.336860670194003,40,7.054673721340388,NA,2,NA,0.061293288384921846
4,2020-08-01T00:00:00Z,3231,2663,82.42030331166822,177,31.161971830985912,36,6.338028169014084,NA,4,NA,0.12380068090374496
4,2020-09-01T00:00:00Z,3157,2550,80.77288565093443,166,27.347611202635914,39,6.425041186161449,NA,2,NA,0.06335128286347799
4,2020-10-01T00:00:00Z,3147,2550,81.02955195424214,174,29.145728643216078,41,6.867671691792294,NA,2,NA,0.06355258976803305
4,2020-11-01T00:00:00Z,2888,2310,79.98614958448753,178,30.79584775086505,39,6.747404844290658,NA,NA,NA,NA
4,2020-12-01T00:00:00Z,2795,2216,79.28443649373882,177,30.569948186528496,40,6.90846286701209,NA,NA,NA,NA
4,2021-01-01T00:00:00Z,2431,1924,79.14438502673798,153,30.17751479289941,28,5.522682445759369,NA,1,NA,0.04113533525298231
4,2021-02-01T00:00:00Z,2308,1817,78.7261698440208,169,34.419551934826885,42,8.55397148676171,NA,2,NA,0.08665511265164644
4,2021-03-01T00:00:00Z,2882,2291,79.49340735600278,183,30.96446700507614,40,6.768189509306261,NA,1,NA,0.03469812630117974
4,2021-04-01T00:00:00Z,2774,2253,81.21845710165826,163,31.285988483685223,33,6.333973128598848,NA,1,NA,0.03604902667627974
4,2021-05-01T00:00:00Z,3171,2596,81.86691895301166,190,33.04347826086956,33,5.739130434782608,NA,1,NA,0.031535793125197095
4,2021-06-01T00:00:00Z,3110,2573,82.73311897106109,161,29.981378026070765,36,6.70391061452514,NA,NA,NA,NA
4,2021-07-01T00:00:00Z,3274,2707,82.68173488087966,176,31.040564373897706,38,6.701940035273369,NA,4,NA,0.12217470983506415
4,2021-08-01T00:00:00Z,3126,2598,83.10940499040306,170,32.196969696969695,30,5.681818181818182,NA,NA,NA,NA
4,2021-09-01T00:00:00Z,3178,2637,82.9767149150409,179,33.08687615526802,39,7.208872458410351,NA,NA,NA,NA
