id,incident_date,district,bias_code,bias_code_2,bias,status,#_of_victims,victim_type,#_of_suspects,#_suspects_<_18_of_age,#_suspects_18-35_of_age,#_suspects_36-45_of_age,#_suspects_46-55_of_age,#_suspects_>_55_of_age,suspect_known/unknown,year,month,year_month
250027206,2025-06-18,2,Anti-Jewish,Anti-Homosexual,Vandalism,Open,NA,Society,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250027117,2025-06-18,4,Anti-Black,Anti-Hispanic,Verbal Intimidation/Simple Assault,Open,NA,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250026822,2025-06-16,6,Anti-Jewish,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250026803,2025-06-16,2,Anti-White,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),1,NA,NA,NA,NA,1,Known,2025,6,2025-06-01
250026391,2025-06-13,4,Anti-Jewish,NA,Written Intimidation/Simple Assault,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250026459,2025-06-13,2,Anti-Other Ethnicity,NA,Verbal Intimidation/Simple Assault,Open,2,Individual(s),2,NA,2,NA,NA,NA,Known,2025,6,2025-06-01
250026480,2025-06-13,4,Anti-Black,NA,Assault (simple),Open,2,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2025,6,2025-06-01
250026062,2025-06-11,2,Anti-Homosexual,NA,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,NA,NA,NA,NA,Known,2025,6,2025-06-01
250026018,2025-06-11,4,Anti-Jewish,NA,Vandalism,Open,NA,Religious Organization,NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250026109,2025-06-11,6,Anti-Black,NA,Vandalism-Motor Vehicle,Open,1,Individual(s),NA,NA,NA,NA,NA,NA,NA,2025,6,2025-06-01
250025508,2025-06-08,2,Anti-Hispanic,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2025,6,2025-06-01
